Model,RMSE,MAE,R²,RMSLE,Best_Params,CV_Score
LightGBM,0.12492268339227139,0.08385765774842951,0.9058266208024124,0.12492268339227139,"{'subsample': 0.9, 'num_leaves': 200, 'min_child_samples': 20, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.017683141503138884
Lasso,0.12577714011286706,0.0859341683504348,0.9045339449277374,0.12577714011286706,{'alpha': 0.01},0.02042987827642108
ElasticNet,0.1276035322128611,0.0879427929948825,0.9017413171758669,0.1276035322128611,"{'alpha': 0.1, 'l1_ratio': 0.1}",0.020201343808616035
XGBoost,0.12884625628881133,0.08540953219610807,0.8998181253570303,0.12884625628881133,"{'subsample': 0.9, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.8}",0.018248863578126683
Ridge,0.13294792923500734,0.08831410746768158,0.8933382512223582,0.13294792923500734,{'alpha': 100},0.02221646095973856
Huber,0.19006294533966944,0.08968903222072845,0.7820080503565926,0.19006294533966944,"{'alpha': 0.1, 'epsilon': 1.2, 'fit_intercept': True}",0.04616518458607881
